LINEGEOMETRYC
IDOBJ_GID,IDOBJ_NAME,IDOBJ_ALIAS,IDOBJ_CUSTOMID,1152921504606912257,LINEGEOMETRYC_HEIGHT,LINEGEOMETRYC_NEUTRAL,LINEGEOMETRYC_PHASECOUNT,LINEGEOMETRYC_XA,LINEGEOMETRYC_YA,LINEGEOMETRYC_XB,LINEGEOMETRYC_YB,LINEGEOMETRYC_XC,LINEGEOMETRYC_YC,LINEGEOMETRYC_XN,LINEGEOMETRYC_YN
GID,Name,Alias,Custom ID,Visible en producción,Height,Neutral conductor,Phase count,Xa,Ya,Xb,Yb,Xc,Yc,Xn,Yn
"1318429117330246221","GIS_LGC_11m_False_-1.8m_0m_0m_1m_1.8m_0m_0m_0m_3","","182047875A1D0EDADEA83D0FD5C6549788E1B60A","true","11","false","3","-1.8","0","0","1","1.8","0","-0.5","-0.5"
"1318429117330246215","GIS_LGC_12m_False_0.7m_0m_0m_0m_1.4m_0m_0m_0m_2","","F20BB85650E3801D96D69F0C152E1024545AEA18","true","12","false","2","0.7","0","0","0","1.4","0","-0.5","-0.5"
"1318429117330246212","GIS_LGC_20m_False_-1.1m_0m_0m_0.8m_0m_0m_0m_0m_2","","0EE97B79BFFC27AC61F19423CA501BF14069B7BE","true","20","false","2","-1.1","0","0","0.8","0.5","0","-0.5","-0.5"
"1318429117330246202","GIS_LGC_11m_False_-0.2m_0m_0m_0m_0m_0.8m_0m_0m_2","","8F4CBFF4FC99F4F68A469285B57D28AE22B8BD4C","true","11","false","2","-0.2","0","0","0","0","0.8","-0.5","-0.5"
"1318429117330246201","GIS_LGC_12m_False_-0.2m_0m_0m_0m_0m_0.8m_0m_0m_2","","BE4C74BE6E5DE37F5E6E0EF553C07AAE07F2030F","true","12","false","2","-0.2","0","0","0","0","0.8","-0.5","-0.5"
"1318429117330246172","GIS_LGC_16m_False_-1.1m_0m_0.4m_0m_0.7m_0m_0m_0m_3","","BDCDDE38B58073AD2FCF4DFA8447F8B1E623FFD8","true","16","false","3","-1.1","0","0.4","0","0.7","0","-0.5","-0.5"
"1318429117330246170","GIS_LGC_20m_False_0.7m_0m_1.4m_0m_2.1m_0m_0m_0m_3","","D42779A7BFD04F22BCCF313F5ABABDE3D8B01032","true","20","false","3","0.7","0","1.4","0","2.1","0","-0.5","-0.5"
"1318429117330246169","GIS_LGC_24m_False_-0.2m_0.2m_0m_0m_0.2m_0.2m_0m_0m_3","","F8102649833EDF0B5E9E40E8982E35C401C959AA","true","24","false","3","-0.2","0.2","0","0","0.2","0.2","-0.5","-0.5"
"1318429117330246168","GIS_LGC_24m_False_-1.1m_0m_0m_0m_1.1m_0m_0m_0m_3","","32A876F294DD1D1B18ECB08FD13E2373B14BC3FE","true","24","false","3","-1.1","0","0","0","1.1","0","-0.5","-0.5"
"1318429117330246166","GIS_LGC_20m_False_-0.2m_0.2m_0m_0m_0.2m_0.2m_0m_0m_3","","584F6EA859406ED5F41E04DAA3DA2965813CD8D0","true","20","false","3","-0.2","0.2","0","0","0.2","0.2","-0.5","-0.5"
"1318429117330246164","GIS_LGC_16m_False_-0.2m_0.2m_0m_0m_0.2m_0.2m_0m_0m_3","","1AB43187650529F3176E45B07C6BEA7F226EF1A4","true","16","false","3","-0.2","0.2","0","0","0.2","0.2","-0.5","-0.5"
"1318429117330246159","GIS_LGC_15m_False_-0.2m_0.2m_0m_0m_0.2m_0.2m_0m_0m_3","","F2063F27145CF76148CC17B951A3025A0E8F1CF4","true","15","false","3","-0.2","0.2","0","0","0.2","0.2","-0.5","-0.5"
"1318429117330246158","GIS_LGC_11m_False_-0.2m_0.2m_0m_0m_0.2m_0.2m_0m_0m_3","","55FD278E2697EBAAD578E933A7CFE629E0ADDD47","true","11","false","3","-0.2","0.2","0","0","0.2","0.2","-0.5","-0.5"
"1318429117330246152","GIS_LGC_12m_False_-1.8m_0m_0m_0.8m_0m_0m_0m_0m_2","","AB9A9431264553B85F4A46C4F63E22AAA6CE8B06","true","12","false","2","-1.8","0","0","0.8","0.5","0","-0.5","-0.5"
"1318429117330246151","GIS_LGC_8m_False_-1.1m_0m_0m_0.8m_1.1m_0m_0m_0m_3","","7BA42868FCDDB66DAAE98F5797031355844ACD27","true","8","false","3","-1.1","0","0","0.8","1.1","0","-0.5","-0.5"
"1318429117330246149","GIS_LGC_14m_False_-1.1m_0m_0m_0.8m_0m_0m_0m_0m_2","","5209E36E82F05F78AD1F3A09537D06C34AD15B66","true","14","false","2","-1.1","0","0","0.8","0.5","0","-0.5","-0.5"
"1318429117330246148","GIS_LGC_11m_False_-1.8m_0m_0m_0.8m_0m_0m_0m_0m_2","","E8D353F62836F5BF78D2E6D6A61FFC56253F23A9","true","11","false","2","-1.8","0","0","0.8","0.5","0","-0.5","-0.5"
"1318429117330246147","GIS_LGC_14m_False_-0.6m_0m_0m_0.8m_0.6m_0m_0m_0m_3","","5CA3DAA99B2758AFAF7CB92CFC6B417EE4E6E34D","true","14","false","3","-0.6","0","0","0.8","0.6","0","-0.5","-0.5"
"1318429117330246146","GIS_LGC_11m_False_0m_0m_0m_2m_0m_0.8m_0m_0m_2","","117721A80CC4BCF406A8813B80FACC39F49F5F94","true","11","false","2","-0.5","0","0","2","0","0.8","-0.5","-0.5"
"1318429117330246144","GIS_LGC_11m_False_0.7m_0m_0m_0.8m_0m_0m_0m_0m_2","","9622713EE80FB8B7761075762C2231E26B6C4099","true","11","false","2","0.7","0","0","0.8","0.5","0","-0.5","-0.5"
"1318429117330246143","GIS_LGC_12m_False_0.7m_0m_0m_0.8m_0m_0m_0m_0m_2","","039ED9F96BCF3CD65F725337B30B55561C229E7B","true","12","false","2","0.7","0","0","0.8","0.5","0","-0.5","-0.5"
"1318429117330246138","GIS_LGC_9m_False_0m_0m_-1.1m_0m_0m_0.8m_0m_0m_2","","485EDEBBC786158BA23B30356F906C95DCCBC737","true","9","false","2","-0.5","0","-1.1","0","0","0.8","-0.5","-0.5"
