,job_id,job_name,step_name,version
258,4519,20220803008,Revisar Prediseño,.
259,5185,20220803369,Promover en ADMS,PLOAIZA.GIS20220803369_WODI_PP_013_03_PO
260,5186,20220803377,Revisar Prediseño,CAPEREZS.GIS20220803377_WODI_PP_013_03_PO
261,5235,20220803512,Definir,.
262,5281,20220803520,Prediseño en StandBy,.
263,5162,20220803792,Promover en ADMS,JGARZONG.GIS20220803792_WODI_PP_014_03_PO
264,5308,20220803806,Solicitar TQ,.
265,4520,20220803016,Promover en ADMS,EDELGADO.GIS20220803016_WO400485175
266,5170,20220803385,Promover en ADMS,CCHAPID.GIS20220803385_WO400419714_PO
267,5283,20220803547,Revisar Prediseño,.
268,3921,20220802419,Definir,.
269,3922,20220802427,Definir,.
270,4521,20220803024,Confirmar al ADMS,SPACOSTA.GIS20220803024_NWO
271,4523,20220803040,Revisar Prediseño,.
272,5201,20220803393,Finalizado,DAARBELAEZ.GIS20220803393_NWO
273,5217,20220803407,Promover en ADMS,PSILVA.GIS20220803407_WO400470228_PO
274,5297,20220803555,Finalizado,OCARDENAS.GIS20220803555_NWO
275,5284,20220803563,Finalizado,CAPEREZS.GIS20220803563_WODI_PP_013_03_PO
276,3923,20220802435,Definir,.
277,4524,20220803059,Definir,.
278,4525,20220803067,Promover en ADMS,RDGONZALEZ.GIS20220803067_WODI_RE_013_01_PO
279,5218,20220803415,Finalizado,RVANEGASB.GIS20220803415_NWO
280,5219,20220803423,Promover en ADMS,SPACOSTA.GIS20220803423_WO400453435_PO
281,5285,20220803571,Definir,.
282,3237,20220801161,Revisión TQ,EDELGADO.GIS20220801161_WO400485128_PO
283,3924,20220802461,Definir,.
284,3925,20220802478,Rechazar Prediseño,OIZQUIERDO.GIS20220802478_NWO
285,3926,20220802494,Revisar Prediseño,.
286,4644,20220803083,Finalizado,ALSOLANO.GIS20220803083_NWO
287,4526,20220803091,Definir,.
288,5171,20220803431,Definir,.
289,5233,20220803441, Diseño en StandBy,PLOAIZA.GIS20220803441_WO400469908_PO
290,5266,20220803581,Promover en ADMS,AORTIZJ.GIS20220803581_WO400485879_PO
291,5298,20220803598,Revisar Prediseño,.
292,3927,20220802508,Revisar Prediseño,PSILVA.GIS20220802508_NWO
293,3928,20220802516,Finalizado,.
294,4645,20220803105,Definir,.
295,15729,20220810748, Enviar a ADMS,DAARBELAEZ.GIS20220810748_WO400490828_PO
296,5172,20220803458,Promover en ADMS,DFLOPEZ.GIS20220803458_WODI_PP_014_03_PO
297,5299,20220803601,Promover en ADMS,CCHAPID.GIS20220803601_WODI_PP_014_03_PO
298,5300,20220803628, Diseño en StandBy,CAPEREZS.GIS20220803628_NWO
299,3930,20220802532, Rechazar en ADMS,DSEGURA.GIS20220802532_WODI_PS_032_25_PO
300,4527,20220803121,Revisión TQ,PLOAIZA.GIS20220803121_NWO
301,4647,20220803131,Finalizado,CAPEREZS.GIS20220803131_NWO
302,5249,20220803466,Espera Confirmación ADMS,PLOAIZA.GIS20220803466_NWO
303,5234,20220803474,Revisar Prediseño,.
304,5173,20220803482,Finalizado,JIDROBO.GIS20220803482_NWO
305,5155,20220803644,Finalizado,LCESPEDES.GIS20220803644_NWO
306,3931,20220802540,Promover en ADMS,MHHERRERA.GIS20220802540_WO400478227_PO
307,4593,20220802893,Prediseño en StandBy,.
308,4594,20220802907,Finalizado,DFLOPEZ.GIS20220802907_WO400351707_PO
309,4529,20220802801,Prediseño en StandBy,.
310,4530,20220802826,Definir,.
311,5302,20220803660,Revisión TQ,LCESPEDES.GIS20220803660_NWO
312,3874,20220802362,Definir,.
313,3875,20220802389,Promover en ADMS,CAPEREZS.GIS20220802389_NWO
314,4513,20220802796,Definir,.
315,4531,20220802834,Finalizado,PSILVA.GIS20220802834_NWO
316,5303,20220803679,Definir,.
317,5156,20220803687,Definir,.
318,3876,20220802400,Promover en ADMS,RDGONZALEZ.GIS20220802400_WODI_PP_014_03_PO
319,3932,20220802559,Definir,.
320,4648,20220803148,Definir,.
321,4528,20220803156, Diseño en StandBy,JNGAVIRIA.GIS20220803156_NWO
322,4818,20220803237, Diseño en StandBy,SPACOSTA.GIS20220803237_WO400454323_PO
323,5157,20220803695,Definir,.
324,5158,20220803709,Editar Diseño,LCESPEDES.GIS20220803709_NWO
325,3933,20220802567,Definir,.
